,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Juspay Technologies India Pvt Ltd,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,,,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,,,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,,,,,,,,,
,,,,2026-04-01 00:00:00,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00,2026-08-31 00:00:00,2026-09-30 00:00:00,2026-10-31 00:00:00,2026-11-30 00:00:00,2026-12-31 00:00:00,2027-01-31 00:00:00,2027-02-28 00:00:00,2027-03-31 00:00:00,,,2026-04-01 00:00:00,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00,2026-08-31 00:00:00,2026-09-30 00:00:00,2026-10-31 00:00:00,2026-11-30 00:00:00,2026-12-31 00:00:00,2027-01-31 00:00:00,2027-02-28 00:00:00,2027-03-31 00:00:00,FY27,,,2025-04-01 00:00:00,2025-05-31 00:00:00,2025-06-30 00:00:00,2025-07-31 00:00:00,2025-08-31 00:00:00,2025-09-30 00:00:00,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,2026-02-28 00:00:00,2026-03-31 00:00:00,FY27,,,,,,,,,
,,,Latam,0,,,,,,,,,,,,,,0.0569715,0.1345865,0.173736,0.18604895,0.187439845,0.18896982950000002,0.19255281245,0.194404093695,0.19644050306450003,0.22091055337095006,0.24237460870804503,0.26408506957884953,2.238520265367345,,,0,0,0,0,0,0,0,0,0,0,0.0136,0.24,0.2536,,,,,,,,,
,,,EU,0.936026343,,,,,,,,,,,,,,0.979992,0.979992,0.979992,1.555992,1.555992,1.879992,1.915992,1.915992,1.915992,2.971992,2.971992,2.971992,22.595903999999997,,,0.173536,0.15784409101,0.15278,0.1636447,0.1674952,0.1908029,0.1967324,0.1939161,0.212938908,0.582582875,0.6058260209999999,1.288782949,4.08688214401,,,,,,,,,
,,,US,0.25590735600000003,,,,,,,,,,,,,,0.2177838208,0.2541838208,0.2912,0.364,0.364,0.364,0.38675,0.4459,0.4459,0.51415,0.53235,0.53235,4.7125676416,,,0,0,0.0126,0.01275,0.01305,0.01305,0.01305,0.0132,0.01335,0.0924621,0.1721993,0.243163921,0.598875321,,,,,,,,,
,,,Bank Business,0.19590978495026667,,,,,,,,,,,,,,0.18075339784946237,0.18075339784946237,0.18075339784946237,8.370753397849462,0.18075339784946237,84.25282539784946,0.25282539784946234,0.25282539784946234,3.0738253978494625,0.9353253978494624,0.9353253978494624,0.9353253978494624,99.73204477419355,,,0.025548532209903,0.025080225764014998,0.025340562536362004,0.026422923114669997,0.19,0.189623181266667,0.189216752166667,0.189495483166667,0.189939889,0.19330480816666668,0.19344971016666665,0.19768326316666665,1.6351053307249508,,,,,,,,,
,,,SEA MENA,0.19590978495026667,,,,,,,,,,,,,,0.18075339784946237,0.18075339784946237,0.18075339784946237,0.18075339784946237,0.18075339784946237,0.25282539784946234,0.25282539784946234,0.25282539784946234,0.3438253978494624,0.3893253978494624,0.3893253978494624,0.3893253978494624,3.174044774193548,,,0.025548532209903,0.025080225764014998,0.025340562536362004,0.026422923114669997,0.19,0.189623181266667,0.189216752166667,0.189495483166667,0.189939889,0.19330480816666668,0.19344971016666665,0.19768326316666665,1.6351053307249508,,,,,,,,,
,,,Latam,0,,,,,,,,,,,,,,0,0,0,8.19,0,0,0,0,2.73,0.546,0.546,0.546,12.557999999999998,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,EU,0,,,,,,,,,,,,,,0,0,0,0,0,84,0,0,0,0,0,0,84,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,Networks & Jusbiz,0.4557292,,,,,,,,,,,,,,0.455,0.91,3.64,4.732,4.55,3.2305,1.547,3.64,5.278,1.5925,7.0525,4.3225,40.949999999999996,,,0.373041656,1.375149079328,1.8372199873592001,0.373041656,1.0295684141696,1.8029256559999998,0.758590551,0.62304877,4.077835539,3.4587652,0.4557292,6.9557292,23.1206449088568,,,,,,,,,
,,,Onetime Revenue,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,Merchant Business,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
